40.0000 	2.5000 	66.6667 	60.6061 	57.1429 	60.8696 	38.4615 	28.5714 	50.0000 	0.0000 
80.0000 	70.0000 	64.1026 	69.2308 	45.4545 	43.4783 	50.0000 	33.3333 	37.5000 	40.0000 
62.5000 	55.0000 	50.0000 	59.4595 	41.3793 	36.3636 	66.6667 	50.0000 	20.0000 	33.3333 
60.0000 	45.0000 	60.0000 	53.8462 	33.3333 	48.0000 	37.5000 	23.0769 	33.3333 	0.0000 
52.5000 	52.5000 	47.5000 	50.0000 	45.9459 	48.3871 	34.4828 	26.6667 	37.5000 	20.0000 
57.5000 	52.5000 	57.5000 	43.5897 	35.2941 	31.2500 	19.2308 	47.3684 	41.6667 	11.1111 
47.5000 	40.0000 	40.0000 	42.5000 	34.4828 	29.0323 	22.5806 	9.5238 	0.0000 	7.6923 
45.0000 	35.0000 	41.0256 	27.5000 	16.6667 	14.7059 	16.6667 	8.6957 	5.5556 	6.2500 
50.0000 	22.5000 	40.0000 	30.7692 	30.7692 	17.6471 	15.6250 	22.2222 	9.0909 	16.6667 
42.5000 	30.0000 	30.0000 	30.7692 	22.5000 	13.3333 	5.4054 	12.5000 	12.0000 	0.0000 
