0.136	14.1178	2.0833	10.9533	56.1904	78.2391	137.1877	147.1914	229.9235	109.543
0.0617	2.3517	3.8517	9.7061	24.1378	82.6691	57.2358	103.0929	175.565	257.608
0.0678	0.616	3.1271	15.5921	69.7814	60.7145	118.5167	233.9408	243.408	41.4043
0.2492	0.558	6.4282	21.6888	44.7909	75.0236	95.9629	145.8523	125.5778	254.4483
0.0391	0.377	1.1547	1.768	29.5784	85.0787	89.2259	66.1312	347.3425	105.939
0.056	0.3589	3.9027	10.6679	26.0261	73.6825	79.2935	39.0192	231.8492	116.5644
0.0531	0.6951	1.3471	3.603	25.4884	59.261	13.8068	122.9857	139.9025	190.8262
0.0719	0.2014	0.461	1.6745	12.2177	17.5691	33.7913	69.4096	156.2067	116.2569
0.102	0.4233	0.9454	1.0222	4.7978	33.9231	44.1853	85.8278	140.5773	80.0378
0.0279	0.104	10.2455	0.9377	11.9077	26.721	80.4641	30.9721	88.5268	35.2782

